y_true,y_pred,error,percent_error
759.0,857.8677,-98.86767578125,-13.026044239953888
240406.0,239878.98,527.015625,0.21921899827791322
169678.0,193561.45,-23883.453125,-14.075751202277253
2277.0,2313.95,-36.949951171875,-1.6227470870388667
11602.0,11563.788,38.2119140625,0.32935626669970697
34793.006097560974,36318.137,-1525.130621189026,-4.3834402147158515
29009.0,35805.883,-6796.8828125,-23.430255481057603
8355.176470588238,8269.7295,85.44697840073786,1.0226831079095335
2990973.0,3.0350352e+06,-44062.25,-1.4731744485824512
70111.0,71233.7,-1122.703125,-1.601322367388855
371401.0,344556.5,26844.5,7.227901917334632
158125.0,111786.79,46338.2109375,29.30479743083004
40052.0,48732.605,-8680.60546875,-21.673338332043343
2010339.0,1.9871094e+06,23229.625,1.1555078521582678
28469.0,28844.547,-375.546875,-1.3191431908391584
26832.111111111124,25844.596,987.515407986124,3.680349279625619
2401078.0,2.5048582e+06,-103780.25,-4.322235679140786
5794.0,4810.02,983.97998046875,16.982740429215568
6435.476439790576,6258.1333,177.34313900932557,2.755711106528372
10820.0,11073.4795,-253.4794921875,-2.342694012823475
4362498.0,4.233603e+06,128895.0,2.9546145350668356
38673.0,36106.645,2566.35546875,6.636039274817056
14653.0,14671.866,-18.8662109375,-0.12875323099365318
32371.460446247467,31687.393,684.0678681224672,2.113181977867066
89624.0,88837.88,786.1171875,0.8771279874810318
11722.803738317758,11989.649,-266.84567574474204,-2.2762956857540537
6982.0,6537.9033,444.0966796875,6.360594094636207
4612.0,5504.957,-892.95703125,-19.361600851040762
6078.0,6486.511,-408.51123046875,-6.721145614819841
22608.0,22793.469,-185.46875,-0.8203677901627743
55828.0,54892.01,935.98828125,1.6765570703768717
1661.0,1654.9187,6.081298828125,0.3661227470273931
642593.0,628919.2,13673.8125,2.127911835329672
259606.0,244017.67,15588.328125,6.004610111091424
56913.0,57152.742,-239.7421875,-0.4212432792156449
78455.0,76949.6,1505.3984375,1.9188049678159453
114854.05679513184,112701.16,2152.900545131837,1.8744662619728112
2315.0,3029.2673,-714.267333984375,-30.853880517683585
108986.94240837696,105027.19,3959.7549083769554,3.6332379098586407
95802.0,100195.95,-4393.953125,-4.586494149391453
24017.68715083799,22015.252,2002.4351977129918,8.337335669072223
369420.0,368602.94,817.0625,0.22117440853229386
4909729.0,4.68901e+06,220719.0,4.495543440381333
6951.0,7407.0303,-456.0302734375,-6.560642690799885
16997.0,19140.375,-2143.375,-12.61031358475025
12376.0,12611.769,-235.7685546875,-1.9050464987677762
317006.0,332932.94,-15926.9375,-5.02417540992915
45212.7628458498,45448.31,-235.54574790019979,-0.5209718076802314
45587.58762886598,29038.58,16549.00755074098,36.30156455188731
35928.0,40808.117,-4880.1171875,-13.58304717073035
1199.0,1221.0457,-22.045654296875,-1.8386700831422016
16825.0,16483.865,341.134765625,2.027546898216939
2156.0,1937.4456,218.554443359375,10.137033550991418
5292.0,5838.8706,-546.87060546875,-10.333911667965797
1888.0,2066.8381,-178.838134765625,-9.472358832925053
456408.0,492464.53,-36056.53125,-7.9000655663353845
55727.0,67688.016,-11961.015625,-21.463591481687512
3708.515837104073,3970.0967,-261.58084258342706,-7.053518282604715
4059.0,5029.5776,-970.57763671875,-23.911742712952698
154778.0,152715.17,2062.828125,1.332765719288271
100070.0,94078.54,5991.4609375,5.987269848605976
29318.0,29931.975,-613.974609375,-2.0941899494337948
18484.0,18769.432,-285.431640625,-1.5442092654457908
3670.524886877828,3840.5588,-170.03395101279693,-4.632415151867527
150153.0,139001.55,11151.453125,7.426726821974919
1787.0,1752.9354,34.0645751953125,1.906243715462367
9123.0,9894.872,-771.8720703125,-8.460726409212977
25090.0,27963.465,-2873.46484375,-11.452629907333598
888.0,1014.6165,-126.61651611328125,-14.258616679423564
762.0,877.3621,-115.36212158203125,-15.139386034387304
13304.0,18926.025,-5622.025390625,-42.25815837811936
13724.23076923077,14033.893,-309.6618088942305,-2.256314500252219
3396699.2474226803,3.3314305e+06,65268.74742268026,1.9215344859337884
287319.24242424243,291060.78,-3741.5388257575687,-1.3022235455545939
138478.0,138241.53,236.46875,0.17076268432530797
82042.0,82502.85,-460.8515625,-0.5617263870944151
16421.59574468085,16831.71,-410.11519281915025,-2.4974137665761957
33157.0,35453.793,-2296.79296875,-6.9270228571644
64866.0,57155.957,7710.04296875,11.886108236595442
84735.0,103043.625,-18308.625,-21.606921579040538
48643.0,46004.086,2638.9140625,5.425064372057645
27632.0,25545.3,2086.69921875,7.551748765018819
14010.0,14433.287,-423.287109375,-3.021321266059957
21837.0,23898.082,-2061.08203125,-9.438485283005907
149692.0,151319.36,-1627.359375,-1.0871385077358844
169568.0253164557,170326.94,-758.9121835443075,-0.4475561840907155
7112.0,6807.55,304.4501953125,4.280795772110517
4350.0,4365.0537,-15.0537109375,-0.34606232040229884
14216.0,14319.71,-103.7099609375,-0.7295298321433596
3554.0,3558.7751,-4.775146484375,-0.13435977727560494
451684.0,455056.7,-3372.6875,-0.7466918243727916
126083.0,107862.7,18220.296875,14.451033743645059
5016.0,5075.599,-59.59912109375,-1.1881802450907097
172340.8489326765,169027.06,3313.786432676512,1.9228096259239238
847.0,847.7135,-0.7135009765625,-0.08423860408057851
81520.0,76854.7,4665.296875,5.722886254906771
10379.63,10493.853,-114.2225390625008,-1.1004490435834495
53154.0,57837.965,-4683.96484375,-8.812064649414907
96316.0,97093.8,-777.796875,-0.8075469029029445
384702.0,385584.06,-882.0625,-0.22928461510467843
80908.0,82309.37,-1401.3671875,-1.7320502144410936
